sha256	bytes	path
f3b995d61b35bffee3e12003ee00fd01e5ce0eb857460be69524aa98fe28d9dd	731	Dockerfile
9d99fc90555f96b746b345a3e77632414fdb99c1d7fc11fa85b05f1a4ead7d73	3107	EVALUATOR-LOCK.json
8c0569a27832129353dab97a08e4506d04fabf48f63f913050576c6ee569e986	13576	PREREGISTRATION.md
7d5eea7cc011b62680377bec28c1729b864a8acdb9f32bc38a6ce3b78ba263fb	34531	PROCESS-LOG.md
86fa079465dae8fb5b3e5b211003b9f9506eff91b5aaeb0fbeb0976ba0be0cca	2107	README.md
73e48d4c3d183d4ee272d51afec481e64cbbb0a45975ccd7761ecf83a52a220d	3933	REVIEW-HANDOFF.md
7e6b169c25a91332c6bd40714ef3b751b6ae55a261d74f0dd7b7767761b5b64a	7101	SOURCE-LOCK.json
4d77646013e504f80a59dc20b9383231bb70c61f3e0670ad4a4f77ab8ab7b6bc	7993	TARGETS.md
aa9105cff44cdfe7dcdb7accf2aafaa539f9d370515dee49b54749b4d73e948e	2977	arms/G/record.py
30bb0dd075c909fdecf187ae7bcc7984377c1f1a2c951212cc79a0f58539891b	1300	arms/N/record.sh
03c3add32ac7f33c01afa084233ee2f43b1efc8a1b81873db5b995be0c0bc4e3	1378	arms/V/blinded-review-method.json
35f6b70adc1ad7dc6d70ea33769db80c8604ee306ef6e329a32f55f8ce09bf50	9254	arms/V/lifecycle.sh
0b202272637dc5dc0219822116f87488f95c4993230654c5544d35c8a49bbe31	2940	arms/V/review-method.schema.json
fe2e59f19313846effeb6fe495f0a0477afde73af9e3092113d863da87d6dd26	710	assignments.json
eaaada8a3e3731e6d213e6a3697b5021532676d2b717f392525177625e29c901	821	build/BUILD-LOCK.json
6589e7d2b1000641207804a170a864c0dc1f8e10426cc69361da814d44afa627	71228	build/vela-context.tsv
e632b729d829c4b32f9e62d6e1a240ae46dd3927f4a96e64e0ba11c7b8e7560f	2413	cards/T01.json
11f1f1b8c0d7ffacde920ad619b7fc49ece90bb73a7bac493f8884702f18f5cc	2417	cards/T02.json
3b6f75375d756b681ebde5b4d1e10bd68a5e02b171c51ce5c6dd89d3ecfc80f1	2231	cards/T03.json
07a3dcd999926b17b69fc6b2ce71f4b400916ec34f312508f56c93ef2f6d85d5	2282	cards/T04.json
e26f8af3162210f3d677fe2019e3f742f9b97eef66e48d18535967ae5c98304e	2260	cards/T05.json
a502e37d66b041ff962972fcf948196d94a530eb2b07c351eb0bbe2c0a296f7d	2234	cards/T06.json
69e509ba7f50fe66e2c9d4c67e4d4780bb4a4993d483fc27484f99f272a0fa12	2384	cards/T07.json
c236f87f228ac8b12dab10a4922132fd12219d67ab3f22672d2b40fffd885e33	2646	cards/T08.json
ef0d578e5e1844580a0ebc39103dd7d6b2fcb5682270b5737badeefb7adfdcd1	2251	cards/T09.json
f9e1e65397b4aa682332b9bb1feb7f354e7095f008a7c63b3b3f787673f7041c	2244	cards/T10.json
ddacfe951fdcbf46958c044bc8f9d75dbd1e1c01ef951c134b3c12f977c61094	1252	duplicates/T01.json
1d79d8ee7381db1ab684832bfaba962f53ecd59c19eeb1c4131161a5a9f32a39	4865	duplicates/T02.json
ae46c546113162611196377810ff39b2c69d68d8eda89f12113f7ba2f932597c	1274	duplicates/T03.json
20cc33f0bea04927c934734ce78df61782a65e1a29049070a08f0c97b7660ea6	3345	duplicates/T04.json
f107a884bd5f70a6eaed1c7ad2cde9313451a5b9f3632d1095b92035904a6bf3	1242	duplicates/T05.json
f1cbdadce559d6dd77b7d1f8daac5b5ca50d67f56f693bfa60a5878d3142034d	1245	duplicates/T06.json
8c658d0516489b16f476677c4c2158f20013a5ae749b3e082f6f86d772297073	1297	duplicates/T07.json
e1a538d523e6ba5821a20218d44329529d6d05c1778bd28dda727be977b9e2bb	1261	duplicates/T08.json
a9d34642f34735b93104e5e261c36fb0a54ccea3314a0241afcb1973c9196f6d	1248	duplicates/T09.json
a43306c19d319ea623b55a3d9004a5d9cb7d7ae39e595ae8836c9d1129e8c731	1250	duplicates/T10.json
a5dce055f1f91c8fc76774e3b7409ac9a350166d49f4ea04e61dbacc7f5d65cd	19405	duplicates/index.json
a7651c82b6aa0e2f366581d1b816ced8d8c2a12588df33ba19f292a1e131aa8f	1095	equivalence/T01-G.json
52106a2a3b44b2fee27327e0bbdc028da12ee2f0119d2aceac4f117a63814228	1095	equivalence/T01-N.json
e909573ad09059d44c933f6133a10a204f8364fcbb0127f0974b8acdf5fe09f3	1656	equivalence/T01-V.json
6ba630692de954e23f5327e2bec11b10a3d5a033ed92dd7e10a3d79627d8cbdb	1095	equivalence/T02-G.json
eece8ce202d8a0d74243a9e905b112b8d80a640675538740af5d0e1c3d502c12	1095	equivalence/T02-N.json
ca614a098599f3d09cf0fa85e6629a6d7206efcb892ee33024535de87d057301	1656	equivalence/T02-V.json
8a47345c9d110b709aecedc80817e77e7a87b270594ed63677f5bce424cd38dd	1095	equivalence/T03-G.json
6b6345b7c55a13b0e377ea8db36fdcc940f5eba538efe394fce9a04318041f74	1095	equivalence/T03-N.json
b7a0c8335e266d9b303bf8349449d11f537e921b686b926c3ced0f3e1c655a2c	1656	equivalence/T03-V.json
e56ea9c47d9bc73cf8bb4e43f3825648bf2b80320db6641376fcd480195be5ec	1095	equivalence/T04-G.json
a55cb22d3935e4d089415e376d2cc161138f05acb97cd6404737fe4f5131b595	1095	equivalence/T04-N.json
970544190e620a1cb7c560bb6428256996a90ae0c240fa92f6d1adc255a83e42	1656	equivalence/T04-V.json
a71ab1ac7726384310d2c7d2a0b5b5e53efcff1b3cfeea60aed5b1b5849e9f41	1095	equivalence/T05-G.json
a84dd897ea2a72465080b999088e56224075833bd300b31476c28715cfc64915	1095	equivalence/T05-N.json
70602f07fc043f23b90fcf1459f681a59be8e530a6be33dd69290c8470e53a7a	1656	equivalence/T05-V.json
4a520dbe186325cf89419defc047733fa0466e6d43eb4968faf15855c087a1fc	1095	equivalence/T06-G.json
7f573a070ec63c8a995307829d298e3a21eab89a021a8191ace63e1234e2c5ca	1095	equivalence/T06-N.json
7ebd19794dfbb2944c54bd1dfca1113aead3a4421aaf1192581b28a159c9e51d	1656	equivalence/T06-V.json
1f73545a17f7f20a2ee79b866eaf17fca6a9014b34767d6b9c67d4ea29e1fd07	1095	equivalence/T07-G.json
60f3fe125ac8503556bceaeba936f80aa2813c7023990e64dfc671bdc167eefe	1095	equivalence/T07-N.json
d6b8d9f21a2771c1e851a02f6c0482d785807e355b5f2b7b6bb7a03d598b26b0	1656	equivalence/T07-V.json
ca49058719cb567170d10f5a2180bc76fa051a7089246da89b6293414b1e1d0a	1095	equivalence/T08-G.json
49dd6350f5576e625b5ad4998d86bf30ef34ad68dc9fd5221f75b9ecc9464c24	1095	equivalence/T08-N.json
02e809a21c4748e15b3b72b13dae7eb87d67e277c23073f11fdcdece08dc5ba8	1656	equivalence/T08-V.json
bd2d41925eaab9829700357fce7af22ccd5b616ec943f19e9074b626dd60ce74	1095	equivalence/T09-G.json
eb2e42962f8dc3e6a700449eda43c369b77a94a3c5a0d7e4c15e14110b18fc1b	1095	equivalence/T09-N.json
fe8ff0bc73c0db8171bc719a058e7eefd6a762eb98d2fd33d250ab943b001421	1656	equivalence/T09-V.json
97b04e0926c85c5690fe65308b59b6152626933d906dc1b560239a7d77cb94e9	1095	equivalence/T10-G.json
abaf46a1fcd2c96fb1022172d75f2e08e309808c13b6c9b9df79c03db140f75f	1095	equivalence/T10-N.json
42b2d769d9edd1fe958c93248d4d70530d5608a9aa6c8ddc0b867e2bcdf67246	1656	equivalence/T10-V.json
54da72ffe7b7a9529b193ff0de762c16c29616be3c582b4ed940400e6d2a8ded	9	evidence/.gitattributes
b15c9f250cc2a56ed3bd1aad8b79fe2bbbfe5ea28c8f554d2950492df6416393	2641	evidence/corrected-image/REPORT.md
0a38083b7b998522f52d79b6dec1cded7fa028ab713ab87449e258de5bafee29	742	evidence/corrected-image/base-images-corrected.json
0fe5de03e42735a627e1d881a2835a1e32df679ae3f2a3d7e5c56ec3c70adefd	136	evidence/corrected-image/base-images-corrected.stderr
01ba4719c80b6fe911b091a7c05124b64eeece964e09c058ef8f9805daca546b	1	evidence/corrected-image/base-images-corrected.stdout
acc28630b21b2ac3a74eeaad14e7f3de6d112a722cb1500727eda695dd7f0a94	748	evidence/corrected-image/base-images.json
0fe5de03e42735a627e1d881a2835a1e32df679ae3f2a3d7e5c56ec3c70adefd	136	evidence/corrected-image/base-images.stderr
